student,student_id,hand,sample,quality,timestamp_ms,ax,ay,az,gx,gy,gz
ahmed,2025-12-03,right,نعمك,medium,1764765717807,-9488,10608,7528,-622,183,-320
ahmed,2025-12-03,right,نعمك,medium,1764765717856,-11556,12240,7540,-542,534,-77
ahmed,2025-12-03,right,نعمك,medium,1764765717912,-10136,10668,7232,76,462,-314
ahmed,2025-12-03,right,نعمك,medium,1764765717956,-9828,11948,8380,1918,533,-2
ahmed,2025-12-03,right,نعمك,medium,1764765718006,-11560,10736,6812,-586,215,-252
ahmed,2025-12-03,right,نعمك,medium,1764765718056,-10544,11224,7720,1736,337,397
ahmed,2025-12-03,right,نعمك,medium,1764765718106,-10844,10972,6628,2415,301,56
ahmed,2025-12-03,right,نعمك,medium,1764765718156,-10048,11676,6388,175,776,-709
ahmed,2025-12-03,right,نعمك,medium,1764765718206,-10000,13236,4056,-1443,2399,644
ahmed,2025-12-03,right,نعمك,medium,1764765718258,-10976,9664,11204,873,527,-40
ahmed,2025-12-03,right,نعمك,medium,1764765718306,-12152,12980,10904,2052,-6215,2411
ahmed,2025-12-03,right,نعمك,medium,1764765718355,-8400,10424,3692,1855,-2433,139
ahmed,2025-12-03,right,نعمك,medium,1764765718406,-8744,12104,6904,112,3094,-3208
ahmed,2025-12-03,right,نعمك,medium,1764765718456,-12876,10016,4828,564,-59,-660
ahmed,2025-12-03,right,نعمك,medium,1764765718506,-12224,11572,7032,5908,800,340
ahmed,2025-12-03,right,نعمك,medium,1764765718556,-8672,13272,5892,1646,817,778
ahmed,2025-12-03,right,نعمك,medium,1764765718605,-7896,11084,5932,-1737,3964,-2423
ahmed,2025-12-03,right,نعمك,medium,1764765718656,-9460,12452,8024,-2800,531,-336
ahmed,2025-12-03,right,نعمك,medium,1764765718707,-10784,11432,6244,-442,277,710
ahmed,2025-12-03,right,نعمك,medium,1764765718756,-8932,13100,6848,2351,160,1863
ahmed,2025-12-03,right,نعمك,medium,1764765718805,-10132,11732,5768,101,-194,516
ahmed,2025-12-03,right,نعمك,medium,1764765718856,-10424,10512,8880,1100,-1087,-914
ahmed,2025-12-03,right,نعمك,medium,1764765718906,-10036,13372,4416,487,114,-511
ahmed,2025-12-03,right,نعمك,medium,1764765718956,-10316,12064,9716,-2745,1070,-1225
ahmed,2025-12-03,right,نعمك,medium,1764765719007,-9628,12228,7208,-25,1213,418
ahmed,2025-12-03,right,نعمك,medium,1764765719055,-10880,11816,6456,-367,1672,749
ahmed,2025-12-03,right,نعمك,medium,1764765719106,-8960,13108,5892,-1001,1614,754
ahmed,2025-12-03,right,نعمك,medium,1764765719156,-10580,10420,6296,1508,-460,551
ahmed,2025-12-03,right,نعمك,medium,1764765719207,-11104,11892,5624,316,-1244,-380
ahmed,2025-12-03,right,نعمك,medium,1764765719256,-10360,12148,4976,-874,911,-991
ahmed,2025-12-03,right,نعمك,medium,1764765719306,-9368,12468,9504,306,924,-239
ahmed,2025-12-03,right,نعمك,medium,1764765719357,-9184,12148,7504,-369,49,-664
ahmed,2025-12-03,right,نعمك,medium,1764765719406,-9956,12024,4504,-314,-923,696
ahmed,2025-12-03,right,نعمك,medium,1764765719458,-10868,11616,5996,-501,134,441
ahmed,2025-12-03,right,نعمك,medium,1764765719506,-12172,11800,2452,-315,3270,-643
ahmed,2025-12-03,right,نعمك,medium,1764765719556,-9804,11904,4608,1846,1962,162
ahmed,2025-12-03,right,نعمك,medium,1764765719606,-10152,11604,6888,1862,344,1124
ahmed,2025-12-03,right,نعمك,medium,1764765719657,-5612,11256,2792,1897,-1599,2094
ahmed,2025-12-03,right,نعمك,medium,1764765719705,-11420,11352,6304,-414,-283,342
ahmed,2025-12-03,right,نعمك,medium,1764765719755,-9236,13100,7716,249,571,-448
ahmed,2025-12-03,right,نعمك,medium,1764765719807,-10552,13636,7896,-859,1344,-1438
ahmed,2025-12-03,right,نعمك,medium,1764765719856,-8476,11608,7452,-1740,1663,-491
ahmed,2025-12-03,right,نعمك,medium,1764765719906,-11616,12124,4640,721,3119,1140
ahmed,2025-12-03,right,نعمك,medium,1764765719955,-10148,12208,7752,4694,514,1833
ahmed,2025-12-03,right,نعمك,medium,1764765720007,-8640,11292,5696,659,-2968,2188
ahmed,2025-12-03,right,نعمك,medium,1764765720056,-8628,12716,4016,-2289,45,-2104
ahmed,2025-12-03,right,نعمك,medium,1764765720106,-11512,14424,6848,-2204,-358,178
ahmed,2025-12-03,right,نعمك,medium,1764765720155,-10932,11588,7576,84,907,492
ahmed,2025-12-03,right,نعمك,medium,1764765720205,-10364,11784,6960,2141,788,-249
ahmed,2025-12-03,right,نعمك,medium,1764765720255,-8832,14984,3712,-164,-250,55
ahmed,2025-12-03,right,نعمك,medium,1764765720306,-11020,11616,3260,-2262,1719,-320
ahmed,2025-12-03,right,نعمك,medium,1764765720356,-10536,11872,6760,4019,2487,194
ahmed,2025-12-03,right,نعمك,medium,1764765720405,-8496,12836,5080,3226,-4081,3208
ahmed,2025-12-03,right,نعمك,medium,1764765720460,-8772,12928,4016,414,721,625
ahmed,2025-12-03,right,نعمك,medium,1764765720506,-9768,12304,6564,-1142,281,493
ahmed,2025-12-03,right,نعمك,medium,1764765720555,-9380,12824,6072,538,1081,-303
ahmed,2025-12-03,right,نعمك,medium,1764765720607,-9776,12900,5812,-374,619,-81
ahmed,2025-12-03,right,نعمك,medium,1764765720656,-9864,12720,5848,-532,481,27
ahmed,2025-12-03,right,نعمك,medium,1764765720706,-9476,12692,5884,-469,271,-114
ahmed,2025-12-03,right,نعمك,medium,1764765720755,-9700,12724,6008,-649,283,-162
ahmed,2025-12-03,right,نعمك,medium,1764765720806,-9780,12480,6140,-171,139,46
ahmed,2025-12-03,right,نعمك,medium,1764765720856,-9772,12684,5796,-7,215,90
ahmed,2025-12-03,right,نعمك,medium,1764765720907,-9708,12552,6088,-367,376,-141
ahmed,2025-12-03,right,نعمك,medium,1764765720955,-9700,12500,6052,-103,24,110
ahmed,2025-12-03,right,نعمك,medium,1764765721005,-9548,12676,6016,-127,136,-46
ahmed,2025-12-03,right,نعمك,medium,1764765721056,-9788,12476,6312,-109,110,-60
ahmed,2025-12-03,right,نعمك,medium,1764765721106,-9616,12604,6020,104,68,-50
ahmed,2025-12-03,right,نعمك,medium,1764765721156,-9792,12572,6252,125,84,-18
ahmed,2025-12-03,right,نعمك,medium,1764765721206,-9856,12576,6004,-111,331,-40
ahmed,2025-12-03,right,نعمك,medium,1764765721255,-9608,12556,6036,-43,141,70
ahmed,2025-12-03,right,نعمك,medium,1764765721307,-9748,12764,6192,165,304,-9
ahmed,2025-12-03,right,نعمك,medium,1764765721355,-9764,12660,6148,-20,153,84
ahmed,2025-12-03,right,نعمك,medium,1764765721406,-9828,12620,6148,-301,-37,51
ahmed,2025-12-03,right,نعمك,medium,1764765721455,-9800,12456,6180,-71,3,-108
